日期,day_of_week,day_of_month,month,quarter,is_weekend,is_month_start,is_month_end,equip_capacity_utilization_mean,equip_capacity_utilization_std,equip_capacity_utilization_max,equip_capacity_utilization_min,equip_efficiency_gap_mean,equip_efficiency_gap_std,equip_efficiency_gap_max,equip_availability_ratio_mean,equip_availability_ratio_min,equip_is_downtime_sum,equip_output_per_hour_mean,equip_efficiency_trend_3d_mean,area_AREA_A_util,area_AREA_B_util,buffer_turnover,inventory_coverage,safety_stock_ratio,near_overflow,near_empty,buffer_depletion_rate,fill_to_pack_ratio,bottleneck_score_fill,bottleneck_score_ster,next_downtime,next_near_empty,is_bottleneck_fill,is_bottleneck_ster,production_gap,filling_packaging_balance,bottleneck_severity,buffer_risk_score
2025-05-20,1.0,20.0,5.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-22,3.0,22.0,5.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.08333333329475309,0.0,1.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666667052469
2025-05-25,6.0,25.0,5.0,2.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-27,1.0,27.0,5.0,2.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.24999999988425928,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7500000001157408
2025-05-31,5.0,31.0,5.0,2.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,0.37499999982638893,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6250000001736111
2025-06-01,6.0,1.0,6.0,2.0,1,1,0,0.576503,0.703534,2.85961,0.230273,0.301067,0.674076,0.553673,0.8625,0.0,25.0,21859.881159,0.0,0.4301006871498599,0.8876069953304597,0.6535860945907674,2.1065573770491803,0.3178819443025616,0.0,1.0,297.5,0.4992591003305821,2.0029679966512637,2.0007350880773735,1.0,1.0,1.0,1.0,-0.273497,0.4992591003305821,2.0029679966512637,0.6821180556974384
2025-06-02,0.0,2.0,6.0,2.0,0,1,0,0.777067,0.853482,3.578624,0.404085,0.081725,0.825976,0.345098,0.9375,0.9375,25.0,28713.058667,-0.219342,0.5791121542366947,1.1977198724856322,0.6535860945907674,2.1065573770491803,0.3178819443025616,0.0,1.0,297.5,0.7001489768275732,1.4282674589206221,1.4268156368570803,1.0,0.0,1.0,1.0,-0.07293300000000003,0.7001489768275732,1.4282674589206221,0.6821180556974384
2025-06-03,1.0,3.0,6.0,2.0,0,1,0,0.832079,1.076002,4.299391,0.274028,0.0371,1.046679,0.501167,0.9,0.0,25.0,31435.180556,-0.131983,0.6211185880602241,1.2803686242816092,0.0,0.0,0.0,0.0,1.0,0.0,0.39520755927164114,2.5303159733134697,2.527766455974219,1.0,1.0,1.0,1.0,-0.017920999999999965,0.39520755927164114,2.5303159733134697,1.0
2025-06-04,2.0,4.0,6.0,2.0,0,1,0,0.772588,0.633954,2.873639,0.54168,0.066176,0.630014,0.428482,0.8625,0.0,25.0,29146.843478,-0.078297,0.5742915134803921,1.1939695581896552,0.0,0.0,0.0,0.0,1.0,0.0,1.3682093949771055,1.0010005987339705,0.7301516895949429,1.0,0.0,0.0,0.0,-0.07741199999999993,1.3682093949771055,1.0010005987339705,1.0
2025-06-05,3.0,5.0,6.0,2.0,0,1,0,1.142028,0.948888,4.289346,0.808553,-0.335136,0.942059,0.156762,0.9,0.0,25.0,43067.433333,-0.138954,0.8490023196778712,1.7647063577586206,0.0,0.0,0.0,0.0,1.0,0.0,1.3345040347472374,1.0010147349052685,0.7485824454075167,1.0,0.0,0.0,0.0,0.29202800000000007,1.3345040347472374,1.0010147349052685,1.0
