日期,设备ID,理论产能(瓶),实际产能(瓶),产能利用率,运行效率,综合效率(OEE),故障次数,总故障时长(小时),备注
2025/6/1,PACKAGER_A_01,576000,132637,0.23,0.938,0.179,0,0,
2025/6/1,PACKAGER_A_02,576000,132637,0.23,0.938,0.179,0,0,
2025/6/1,PACKAGER_A_03,576000,132637,0.23,0.938,0.179,0,0,
2025/6/1,PACKAGER_A_04,576000,132637,0.23,0.938,0.179,0,0,
2025/6/1,PACKAGER_A_05,576000,132637,0.23,0.0,0.0,0,0,
2025/6/1,PACKAGER_A_06,576000,132637,0.23,0.938,0.179,0,0,
2025/6/1,PACKAGER_B_01,576000,132637,0.23,0.938,0.179,0,0,
2025/6/1,PACKAGER_B_02,576000,132637,0.23,0.938,0.179,0,0,
2025/6/1,PACKAGER_B_03,576000,132637,0.23,0.938,0.179,0,0,
2025/6/1,PACKAGER_B_04,576000,132637,0.23,0.938,0.179,0,0,
2025/6/1,PACKAGER_B_05,576000,132637,0.23,0.938,0.179,0,0,
2025/6/1,PACKAGER_B_06,576000,132637,0.23,0.938,0.179,0,0,
2025/6/1,FILLER_01,537600,289819,0.539,0.938,0.495,0,0,
2025/6/1,FILLER_02,537600,289819,0.539,0.938,0.495,0,0,
2025/6/1,FILLER_03,537600,289819,0.539,0.938,0.495,0,0,
2025/6/1,FILLER_04,537600,289819,0.539,0.938,0.495,0,0,
2025/6/1,FILLER_05,537600,289819,0.539,0.938,0.495,0,0,
2025/6/1,FILLER_06,537600,289819,0.539,0.938,0.495,0,0,
2025/6/1,FILLER_07,537600,289819,0.539,0.938,0.495,0,0,
2025/6/1,FILLER_08,537600,289819,0.539,0.938,0.495,0,0,
2025/6/1,FILLER_09,537600,289819,0.539,0.938,0.495,0,0,
2025/6/1,FILLER_10,537600,289819,0.539,0.938,0.495,0,0,
2025/6/1,FILLER_11,537600,289819,0.539,0.0,0.0,0,0,
2025/6/1,STERILIZER_01,556800,1592231,1.0,0.938,0.919,0,0,
2025/6/1,STERILIZER_02,556800,1592231,1.0,0.938,0.919,0,0,
2025/6/10,PACKAGER_A_01,576000,365456,0.634,0.938,0.494,0,0,
2025/6/10,PACKAGER_A_02,576000,365456,0.634,0.938,0.494,0,0,
2025/6/10,PACKAGER_A_03,576000,365456,0.634,0.938,0.494,0,0,
2025/6/10,PACKAGER_A_04,576000,365456,0.634,0.938,0.494,0,0,
2025/6/10,PACKAGER_A_05,576000,365456,0.634,0.938,0.494,0,0,
2025/6/10,PACKAGER_A_06,576000,365456,0.634,0.938,0.494,0,0,
2025/6/10,PACKAGER_B_01,576000,365456,0.634,0.938,0.494,0,0,
2025/6/10,PACKAGER_B_02,576000,365456,0.634,0.938,0.494,0,0,
2025/6/10,PACKAGER_B_03,576000,365456,0.634,0.938,0.494,0,0,
2025/6/10,PACKAGER_B_04,576000,365456,0.634,0.938,0.494,0,0,
2025/6/10,PACKAGER_B_05,576000,365456,0.634,0.938,0.494,0,0,
2025/6/10,PACKAGER_B_06,576000,365456,0.634,0.938,0.494,0,0,
2025/6/10,FILLER_01,537600,365605,0.68,0.0,0.0,0,0,
2025/6/10,FILLER_02,537600,365605,0.68,0.938,0.625,0,0,
2025/6/10,FILLER_03,537600,365605,0.68,0.938,0.625,0,0,
2025/6/10,FILLER_04,537600,365605,0.68,0.938,0.625,0,0,
2025/6/10,FILLER_05,537600,365605,0.68,0.938,0.625,0,0,
2025/6/10,FILLER_06,537600,365605,0.68,0.938,0.625,0,0,
2025/6/10,FILLER_07,537600,365605,0.68,0.938,0.625,0,0,
2025/6/10,FILLER_08,537600,365605,0.68,0.938,0.625,0,0,
2025/6/10,FILLER_09,537600,365605,0.68,0.938,0.625,0,0,
2025/6/10,FILLER_10,537600,365605,0.68,0.938,0.625,0,0,
2025/6/10,FILLER_11,537600,365605,0.68,0.938,0.625,0,0,
2025/6/10,STERILIZER_01,556800,2008214,1.0,0.938,0.919,0,0,
2025/6/10,STERILIZER_02,556800,2008214,1.0,0.938,0.919,0,0,
2025/6/11,PACKAGER_A_01,576000,332047,0.576,0.938,0.449,0,0,
2025/6/11,PACKAGER_A_02,576000,332047,0.576,0.0,0.0,0,0,
2025/6/11,PACKAGER_A_03,576000,332047,0.576,0.938,0.449,0,0,
2025/6/11,PACKAGER_A_04,576000,332047,0.576,0.938,0.449,0,0,
2025/6/11,PACKAGER_A_05,576000,332047,0.576,0.938,0.449,0,0,
2025/6/11,PACKAGER_A_06,576000,332047,0.576,0.938,0.449,0,0,
2025/6/11,PACKAGER_B_01,576000,332047,0.576,0.938,0.449,0,0,
2025/6/11,PACKAGER_B_02,576000,332047,0.576,0.938,0.449,0,0,
2025/6/11,PACKAGER_B_03,576000,332047,0.576,0.938,0.449,0,0,
2025/6/11,PACKAGER_B_04,576000,332047,0.576,0.938,0.449,0,0,
2025/6/11,PACKAGER_B_05,576000,332047,0.576,0.938,0.449,0,0,
2025/6/11,PACKAGER_B_06,576000,332047,0.576,0.938,0.449,0,0,
2025/6/11,FILLER_01,537600,400152,0.744,0.0,0.0,0,0,
2025/6/11,FILLER_02,537600,400152,0.744,0.938,0.684,0,0,
2025/6/11,FILLER_03,537600,400152,0.744,0.938,0.684,0,0,
2025/6/11,FILLER_04,537600,400152,0.744,0.938,0.684,0,0,
2025/6/11,FILLER_05,537600,400152,0.744,0.938,0.684,0,0,
2025/6/11,FILLER_06,537600,400152,0.744,0.938,0.684,0,0,
2025/6/11,FILLER_07,537600,400152,0.744,0.938,0.684,0,0,
2025/6/11,FILLER_08,537600,400152,0.744,0.938,0.684,0,0,
2025/6/11,FILLER_09,537600,400152,0.744,0.938,0.684,0,0,
2025/6/11,FILLER_10,537600,400152,0.744,0.938,0.684,0,0,
2025/6/11,FILLER_11,537600,400152,0.744,0.938,0.684,0,0,
2025/6/11,STERILIZER_01,556800,2198164,1.0,0.938,0.919,0,0,
2025/6/11,STERILIZER_02,556800,2198164,1.0,0.938,0.919,0,0,
2025/6/12,PACKAGER_A_01,576000,400058,0.695,0.938,0.54,0,0,
